,group
TCGA-FD-A62N-01A,2
TCGA-FD-A5BT-01A,2
TCGA-FD-A6TD-01A,2
TCGA-KQ-A41S-01A,2
TCGA-ZF-AA4V-01A,2
TCGA-XF-AAME-01A,2
TCGA-DK-AA75-01A,2
TCGA-DK-AA76-01A,2
TCGA-E7-A677-01A,2
TCGA-GU-AATO-01A,2
TCGA-MV-A51V-01A,2
TCGA-DK-A3WX-01A,2
TCGA-2F-A9KO-01A,2
TCGA-CF-A47V-01A,2
TCGA-DK-AA6M-01A,2
TCGA-FD-A5BR-01A,2
TCGA-HQ-A5NE-01A,2
TCGA-XF-AAN0-01A,2
TCGA-KQ-A41R-01A,2
TCGA-LT-A5Z6-01A,2
TCGA-XF-AAMX-01A,2
TCGA-BL-A13I-01A,2
TCGA-XF-A8HI-01A,2
TCGA-DK-A1AF-01A,2
TCGA-BT-A20P-01A,2
TCGA-ZF-A9RD-01A,2
TCGA-E7-A3Y1-01A,2
TCGA-DK-A1AB-01A,2
TCGA-GV-A6ZA-01A,2
TCGA-ZF-A9R1-01A,2
TCGA-XF-A9T4-01A,2
TCGA-FD-A6TA-01A,2
TCGA-XF-A9T5-01A,2
TCGA-UY-A8OB-01A,2
TCGA-YC-A89H-01A,2
TCGA-XF-A8HE-01A,2
TCGA-BT-A42E-01A,2
TCGA-BT-A2LD-01A,2
TCGA-XF-A8HB-01A,2
TCGA-FJ-A3ZE-01A,2
TCGA-K4-A83P-01A,2
TCGA-S5-AA26-01A,2
TCGA-BT-A3PH-01A,2
TCGA-FD-A5BZ-01A,2
TCGA-4Z-AA86-01A,2
TCGA-C4-A0F1-01A,2
TCGA-XF-AAMT-01A,2
TCGA-DK-A6B6-01A,2
TCGA-CU-A72E-01A,2
TCGA-ZF-A9R2-01A,2
TCGA-GU-AATQ-01A,2
TCGA-XF-AAN4-01A,2
TCGA-BT-A20O-01A,2
TCGA-ZF-AA54-01A,2
TCGA-XF-AAN5-01A,2
TCGA-BT-A20X-01A,2
TCGA-E7-A85H-01A,2
TCGA-DK-A1A3-01A,2
TCGA-DK-AA6L-01A,2
TCGA-E7-A3X6-01A,2
TCGA-BT-A2LB-01A,2
TCGA-CF-A47S-01A,2
TCGA-DK-A6B5-01A,2
TCGA-XF-A9SZ-01A,2
TCGA-KQ-A41P-01A,2
TCGA-XF-A8HD-01A,2
TCGA-BT-A20N-01A,2
TCGA-ZF-AA56-01A,2
TCGA-K4-A5RH-01A,2
TCGA-UY-A8OD-01A,2
TCGA-DK-A1AG-01A,2
TCGA-GU-A763-01A,2
TCGA-E7-A6MF-01A,2
TCGA-5N-A9KI-01A,2
TCGA-FD-A6TE-01A,2
TCGA-R3-A69X-01A,2
TCGA-UY-A78K-01A,2
TCGA-CF-A9FF-01A,2
TCGA-FD-A3SP-01A,2
TCGA-KQ-A41N-01A,2
TCGA-LT-A8JT-01A,2
TCGA-BT-A0S7-01A,2
TCGA-YC-A9TC-01A,2
TCGA-4Z-AA7R-01A,2
TCGA-BT-A2LA-01A,2
TCGA-4Z-AA7O-01A,2
TCGA-CF-A9FH-01A,2
TCGA-BT-A20U-01A,2
TCGA-XF-A8HF-01A,2
TCGA-CF-A47Y-01A,2
TCGA-YC-A8S6-01A,2
TCGA-XF-A9SY-01A,2
TCGA-K4-A4AB-01B,2
TCGA-DK-A3X1-01A,2
TCGA-FD-A3SM-01A,2
TCGA-FJ-A3Z9-01A,2
TCGA-DK-AA6Q-01A,2
TCGA-XF-AAN8-01A,2
TCGA-KQ-A41Q-01A,2
TCGA-H4-A2HQ-01A,2
TCGA-E7-A541-01A,2
TCGA-K4-A3WV-01A,2
TCGA-FD-A43Y-01A,2
TCGA-GU-A766-01A,2
TCGA-DK-AA77-01A,2
TCGA-ZF-A9R9-01A,2
TCGA-XF-AAMZ-01A,2
TCGA-CF-A3MI-01A,2
TCGA-4Z-AA7S-01A,2
TCGA-BT-A20R-01A,2
TCGA-XF-A9SW-01A,2
TCGA-FJ-A3ZF-01A,2
TCGA-2F-A9KR-01A,2
TCGA-4Z-AA7Q-01A,2
TCGA-CF-A9FM-01A,2
TCGA-DK-A3IT-01A,2
TCGA-GV-A3QF-01A,2
TCGA-DK-A3IV-01A,2
TCGA-CU-A0YN-01A,2
TCGA-DK-A1AA-01A,2
TCGA-GV-A40E-01A,2
TCGA-BL-A0C8-01A,2
TCGA-HQ-A2OE-01A,2
TCGA-CF-A47T-01A,2
TCGA-H4-A2HO-01A,2
TCGA-XF-AAMH-01A,2
TCGA-ZF-AA53-01A,2
TCGA-FD-A5C1-01A,2
TCGA-DK-A2I1-01A,2
TCGA-FD-A6TG-01A,2
TCGA-FD-A62S-01A,2
TCGA-HQ-A5ND-01A,2
TCGA-XF-A9SK-01A,2
TCGA-CF-A47W-01A,2
TCGA-ZF-AA5P-01A,2
TCGA-DK-A3WW-01A,2
TCGA-ZF-AA4T-01A,2
TCGA-DK-A3IQ-01A,2
TCGA-ZF-AA4N-01A,2
TCGA-FD-A3SN-01A,2
TCGA-K4-AAQO-01A,2
TCGA-DK-A6B1-01A,2
TCGA-FD-A6TI-01A,2
TCGA-YF-AA3M-01A,2
TCGA-BL-A3JM-01A,2
TCGA-UY-A78L-01A,2
TCGA-ZF-AA51-01A,2
TCGA-4Z-AA7M-01A,2
TCGA-GU-A764-01A,2
TCGA-2F-A9KQ-01A,2
TCGA-BT-A3PJ-01A,2
TCGA-DK-A6B2-01A,2
TCGA-GV-A3JV-01A,2
TCGA-XF-A8HH-01A,2
TCGA-4Z-AA84-01A,2
TCGA-BT-A20V-01A,2
TCGA-BT-A20T-01A,2
TCGA-DK-A2HX-01A,2
TCGA-E7-A7PW-01A,2
TCGA-GC-A3WC-01A,2
TCGA-FD-A43U-01A,2
TCGA-K4-A4AC-01A,2
TCGA-FD-A3NA-01A,2
TCGA-E7-A97P-01A,2
TCGA-HQ-A2OF-01A,2
TCGA-K4-A3WS-01A,2
TCGA-G2-A2ES-01A,2
TCGA-FD-A3SQ-01A,2
TCGA-GC-A3YS-01A,2
TCGA-FD-A3SS-01A,2
TCGA-UY-A78M-01A,2
TCGA-GV-A3QI-01A,2
TCGA-ZF-AA58-01A,2
TCGA-DK-AA74-01A,2
TCGA-FD-A6TK-01A,2
TCGA-BT-A42C-01A,2
TCGA-CU-A3YL-01A,2
TCGA-DK-A3IL-01A,2
TCGA-PQ-A6FI-01A,2
TCGA-XF-A8HC-01A,2
TCGA-FD-A3B6-01A,2
TCGA-FD-A5C0-01A,2
TCGA-GD-A3OQ-01A,2
TCGA-GV-A3QG-01A,2
TCGA-XF-AAMW-01A,2
TCGA-E7-A8O7-01A,2
TCGA-E7-A678-01A,2
TCGA-XF-AAML-01A,2
TCGA-4Z-AA87-01A,2
TCGA-E5-A2PC-01A,2
TCGA-GU-A42R-01A,2
TCGA-E7-A7XN-01A,2
TCGA-DK-A2I2-01A,2
TCGA-G2-A2EC-01A,2
TCGA-XF-AAMG-01A,2
TCGA-DK-A3IK-01A,2
TCGA-G2-A2EF-01A,2
TCGA-GD-A3OS-01A,2
TCGA-FD-A3SL-01A,2
TCGA-E7-A5KE-01A,2
TCGA-DK-AA6S-01A,2
TCGA-K4-A54R-01A,2
TCGA-FD-A3B5-01A,2
TCGA-K4-A5RJ-01A,2
TCGA-LC-A66R-01A,2
TCGA-E5-A4U1-01A,2
TCGA-FD-A6TB-01A,2
TCGA-GD-A3OP-01A,2
TCGA-CF-A3MF-01A,2
TCGA-CF-A8HX-01A,2
TCGA-UY-A78N-01A,2
TCGA-BT-A20W-01A,2
TCGA-DK-AA6P-01A,2
TCGA-FD-A62O-01A,2
TCGA-BT-A0YX-01A,2
TCGA-G2-A2EL-01A,2
TCGA-XF-A9T8-01A,2
TCGA-C4-A0F0-01A,2
TCGA-GV-A3JW-01A,2
TCGA-K4-A5RI-01A,2
TCGA-FD-A3B3-01A,2
TCGA-DK-A3X2-01A,2
TCGA-E7-A7DV-01A,2
TCGA-XF-A9SL-01A,2
TCGA-DK-A1AC-01A,2
TCGA-XF-AAN3-01A,2
TCGA-4Z-AA7Y-01A,2
TCGA-BT-A20Q-01A,2
TCGA-UY-A8OC-01A,2
TCGA-DK-A3IM-01A,2
TCGA-GV-A3QK-01B,2
TCGA-C4-A0F7-01A,2
TCGA-FD-A3B7-01A,2
TCGA-GC-A3BM-01A,2
TCGA-FD-A43X-01A,2
TCGA-G2-A3IE-01A,2
TCGA-DK-A1A5-01A,2
TCGA-UY-A9PD-01A,2
TCGA-E7-A6ME-01A,2
TCGA-GV-A3JZ-01A,2
TCGA-E7-A4XJ-01A,2
TCGA-KQ-A41O-01A,2
TCGA-XF-A9SX-01A,2
TCGA-FD-A3N5-01A,2
TCGA-XF-A9SM-01A,2
TCGA-XF-A9SJ-01A,2
TCGA-CF-A5UA-01A,2
TCGA-FD-A5BS-01A,2
TCGA-G2-A3IB-01A,2
TCGA-XF-A8HG-01A,2
TCGA-XF-A9SH-01A,2
TCGA-2F-A9KT-01A,2
TCGA-G2-AA3C-01A,2
TCGA-G2-A2EJ-01A,2
TCGA-G2-A3VY-01A,2
TCGA-XF-A9SV-01A,2
TCGA-4Z-AA7W-01A,2
TCGA-XF-AAMQ-01A,2
TCGA-FD-A3SO-01A,2
TCGA-G2-A2EO-01A,2
TCGA-DK-A1AD-01A,2
TCGA-XF-AAMJ-01A,2
TCGA-DK-A1A6-01A,2
TCGA-XF-AAN2-01A,2
TCGA-XF-AAMY-01A,2
TCGA-XF-AAN7-01A,2
TCGA-E7-A6MD-01A,2
TCGA-D8-A146-01A,3
TCGA-C8-A274-01A,3
TCGA-AO-A0J5-01A,3
TCGA-BH-A0B1-01A,3
TCGA-A2-A0YM-01A,3
TCGA-AO-A03N-01B,3
TCGA-AO-A1KQ-01A,3
TCGA-E2-A1LE-01A,3
TCGA-AN-A0AK-01A,3
TCGA-BH-A28Q-01A,3
TCGA-BH-A0BM-01A,3
TCGA-AO-A03O-01A,3
TCGA-AC-A4ZE-01A,3
TCGA-E9-A22A-01A,3
TCGA-AR-A0TW-01A,3
TCGA-BH-A1FE-01A,3
TCGA-BH-A1FE-11B,3
TCGA-A2-A3XX-01A,3
TCGA-A8-A095-01A,3
TCGA-AN-A0FL-01A,3
TCGA-D8-A1Y2-01A,3
TCGA-C8-A138-01A,3
TCGA-AR-A255-01A,3
TCGA-GM-A5PV-01A,3
TCGA-E2-A108-01A,3
TCGA-AC-A2BM-01A,3
TCGA-AC-A3W7-01A,3
TCGA-E9-A1QZ-01A,3
TCGA-AR-A24K-01A,3
TCGA-BH-A0H9-01A,3
TCGA-A8-A09B-01A,3
TCGA-A2-A0YT-01A,3
TCGA-BH-A0B5-01A,3
TCGA-C8-A131-01A,3
TCGA-A1-A0SK-01A,3
TCGA-3C-AALK-01A,3
TCGA-A2-A0CV-01A,3
TCGA-C8-A12Q-01A,3
TCGA-AR-A1AL-01A,3
TCGA-AN-A0XP-01A,3
TCGA-A7-A4SF-01A,3
TCGA-LL-A740-01A,3
TCGA-E9-A1N6-11A,3
TCGA-EW-A1J5-01A,3
TCGA-BH-A18G-01A,3
TCGA-A8-A07R-01A,3
TCGA-EW-A6SB-01A,3
TCGA-A2-A04Q-01A,3
TCGA-C8-A12X-01A,3
TCGA-Z7-A8R5-01A,3
TCGA-A2-A0EV-01A,3
TCGA-AR-A0U4-01A,3
TCGA-A8-A06X-01A,3
TCGA-PL-A8LY-01A,3
TCGA-A2-A4S2-01A,3
TCGA-A2-A04Y-01A,3
TCGA-D8-A1JA-01A,3
TCGA-D8-A27E-01A,3
TCGA-A1-A0SO-01A,3
TCGA-BH-A18N-11A,3
TCGA-GM-A2D9-01A,3
TCGA-LL-A5YP-01A,3
TCGA-E2-A1IU-01A,3
TCGA-A7-A26E-01A,3
TCGA-AC-A2FB-01A,3
TCGA-A2-A04W-01A,3
TCGA-A2-A0T1-01A,3
TCGA-B6-A0IQ-01A,3
TCGA-E9-A1N3-01A,3
TCGA-AC-A2B8-01A,3
TCGA-BH-A204-01A,3
TCGA-AO-A03U-01B,3
TCGA-LL-A7SZ-01A,3
TCGA-D8-A1XZ-01A,3
TCGA-E2-A1LL-01A,3
TCGA-AO-A12E-01A,3
TCGA-S3-AA12-01A,3
TCGA-E2-A15J-01A,3
TCGA-AR-A24L-01A,3
TCGA-BH-A0B7-11A,3
TCGA-A1-A0SJ-01A,3
TCGA-A7-A4SA-01A,3
TCGA-S3-AA10-01A,3
TCGA-AR-A1AJ-01A,3
TCGA-LL-A5YL-01A,3
TCGA-E9-A244-01A,3
TCGA-B6-A0X0-01A,3
TCGA-AO-A1KT-01A,3
TCGA-E2-A1LK-01A,3
TCGA-EW-A1P4-01A,3
TCGA-BH-A1FL-01A,3
TCGA-A2-A0ST-01A,3
TCGA-E9-A22H-01A,3
TCGA-E2-A15K-01A,3
TCGA-E2-A15K-06A,3
TCGA-AR-A24Z-01A,3
TCGA-E9-A1NG-01A,3
TCGA-AR-A1AW-01A,3
TCGA-D8-A1JK-01A,3
TCGA-3C-AALI-01A,3
TCGA-BH-A0E7-01A,3
TCGA-AC-A6NO-01A,3
TCGA-C8-A8HP-01A,3
TCGA-AO-A0JL-01A,3
TCGA-A7-A0CJ-01A,3
TCGA-BH-A18Q-01A,3
TCGA-D8-A27T-01A,3
TCGA-D8-A1JS-01A,3
TCGA-BH-A0DL-01A,3
TCGA-EW-A423-01A,3
TCGA-C8-A26Y-01A,3
TCGA-BH-A2L8-01A,3
TCGA-D8-A1JI-01A,3
TCGA-D8-A3Z5-01A,3
TCGA-BH-A0AV-01A,3
TCGA-A8-A075-01A,3
TCGA-BH-A1FM-01A,3
TCGA-B6-A0I9-01A,3
TCGA-AO-A0JM-01A,3
TCGA-AQ-A54N-01A,3
TCGA-AO-A0JG-01A,3
TCGA-AO-A12G-01A,3
TCGA-GM-A2DN-01A,3
TCGA-E2-A15M-01A,3
TCGA-BH-A8G0-01A,3
TCGA-A8-A082-01A,3
TCGA-AR-A24X-01A,3
TCGA-D8-A142-01A,3
TCGA-A2-A0CS-01A,3
TCGA-D8-A1Y0-01A,3
TCGA-E9-A22D-01A,3
TCGA-BH-A0C7-01B,3
TCGA-A7-A3J1-01A,3
TCGA-A7-A2KD-01A,3
TCGA-S3-AA14-01A,3
TCGA-BH-A0AY-01A,3
TCGA-BH-A0AY-11A,3
TCGA-E9-A1RB-01A,3
TCGA-D8-A1XK-01A,3
TCGA-A2-A0CT-01A,3
TCGA-D8-A1XQ-01A,3
TCGA-C8-A135-01A,3
TCGA-D8-A1X9-01A,3
TCGA-AO-A0JE-01A,3
TCGA-HN-A2OB-01A,3
TCGA-A8-A09M-01A,3
TCGA-E9-A1RH-01A,3
TCGA-BH-A1EV-01A,3
TCGA-A8-A09I-01A,3
TCGA-AR-A2LR-01A,3
TCGA-C8-A1HO-01A,3
TCGA-EW-A2FW-01A,3
TCGA-AR-A2LL-01A,3
TCGA-5L-AAT1-01A,3
TCGA-A7-A0DA-01A,3
TCGA-A8-A091-01A,3
TCGA-B6-A0IK-01A,3
TCGA-GM-A2DO-01A,3
TCGA-EW-A6SD-01A,3
TCGA-AR-A24Q-01A,3
TCGA-A2-A0D4-01A,3
TCGA-LL-A442-01A,3
TCGA-D8-A143-01A,3
TCGA-BH-A1FD-11B,3
TCGA-E2-A572-01A,3
TCGA-PE-A5DC-01A,3
TCGA-A2-A259-01A,3
TCGA-A8-A06P-01A,3
TCGA-BH-A0DI-01A,3
TCGA-BH-A0W5-01A,3
TCGA-AC-A2FG-01A,3
TCGA-AQ-A7U7-01A,3
TCGA-AO-A0JD-01A,3
TCGA-D8-A1JG-01B,3
TCGA-E2-A15T-01A,3
TCGA-AO-A128-01A,3
TCGA-AN-A0FZ-01A,3
TCGA-A1-A0SH-01A,3
TCGA-E2-A14V-01A,3
TCGA-BH-A1FB-01A,3
TCGA-E9-A1NF-11A,3
TCGA-E9-A1NF-01A,3
TCGA-AC-A3HN-01A,3
TCGA-A8-A08P-01A,3
TCGA-D8-A1XD-01A,3
TCGA-B6-A0WX-01A,3
TCGA-AC-A23E-01A,3
TCGA-C8-A278-01A,3
TCGA-AR-A2LN-01A,3
TCGA-A2-A0EQ-01A,3
TCGA-D8-A27W-01A,3
TCGA-AR-A0U2-01A,3
TCGA-BH-A18T-01A,3
TCGA-AO-A1KS-01A,3
TCGA-A7-A26G-01A,3
TCGA-BH-A1F5-01A,3
TCGA-BH-A0B4-01A,3
TCGA-EW-A1P8-01A,3
TCGA-EW-A424-01A,3
TCGA-A2-A3KD-01A,3
TCGA-B6-A0RO-01A,3
TCGA-E2-A15I-01A,3
TCGA-GM-A3XG-01A,3
TCGA-AR-A24S-01A,3
TCGA-AC-A2BK-01A,3
TCGA-BH-A0BV-01A,3
TCGA-A2-A0ER-01A,3
TCGA-A2-A0YI-01A,3
TCGA-BH-A0DT-01A,3
TCGA-A8-A08G-01A,3
TCGA-E2-A1B0-01A,3
TCGA-AO-A12A-01A,3
TCGA-A2-A0D2-01A,3
TCGA-E9-A24A-01A,3
TCGA-A7-A0CG-01A,3
TCGA-BH-A1EW-11B,3
TCGA-4H-AAAK-01A,3
TCGA-LL-A441-01A,3
TCGA-BH-A18V-01A,3
TCGA-BH-A18V-06A,3
TCGA-D8-A1JE-01A,3
TCGA-AO-A03L-01A,3
TCGA-D8-A1XS-01A,3
TCGA-BH-A42T-01A,3
TCGA-AN-A0FS-01A,3
TCGA-AN-A0AM-01A,3
TCGA-AR-A24O-01A,3
TCGA-LL-A440-01A,3
TCGA-GM-A3XL-01A,3
TCGA-D8-A1XY-01A,3
TCGA-B6-A0IO-01A,3
TCGA-C8-A137-01A,3
TCGA-A2-A0ES-01A,3
TCGA-OL-A5RW-01A,3
TCGA-LL-A73Z-01A,3
TCGA-GM-A2DB-01A,3
TCGA-AN-A0AL-01A,3
TCGA-A2-A0YC-01A,3
TCGA-AO-A0JB-01A,3
TCGA-AN-A0XU-01A,3
TCGA-BH-A0W4-01A,3
TCGA-A2-A0D1-01A,3
TCGA-B6-A0IJ-01A,3
TCGA-AN-A0FY-01A,3
TCGA-A7-A13F-01A,3
TCGA-BH-A1F0-01A,3
TCGA-A2-A3KC-01A,3
TCGA-BH-A18U-01A,3
TCGA-BH-A0E0-01A,3
TCGA-BH-A0BT-01A,3
TCGA-OL-A5RV-01A,3
TCGA-OL-A66O-01A,3
TCGA-D8-A1JD-01A,3
TCGA-A8-A06Y-01A,3
TCGA-D8-A27F-01A,3
TCGA-B6-A0IB-01A,3
TCGA-LL-A6FR-01A,3
TCGA-A7-A3IZ-01A,3
TCGA-AR-A0TT-01A,3
TCGA-A7-A0D9-01A,3
TCGA-D8-A13Y-01A,3
TCGA-A2-A3XV-01A,3
TCGA-E2-A14Y-01A,3
TCGA-LD-A7W5-01A,3
TCGA-S3-A6ZG-01A,3
TCGA-A2-A04V-01A,3
TCGA-BH-A1EU-01A,3
TCGA-D8-A1XT-01A,3
TCGA-E9-A22E-01A,3
TCGA-AN-A0FJ-01A,3
TCGA-BH-A18P-11A,3
TCGA-A2-A0EW-01A,3
TCGA-E2-A15H-01A,3
TCGA-AR-A24P-01A,3
TCGA-AO-A0J2-01A,3
TCGA-EW-A2FS-01A,3
TCGA-AR-A1AV-01A,3
TCGA-E2-A1BC-01A,3
TCGA-BH-A0HU-01A,3
TCGA-LD-A7W6-01A,3
TCGA-C8-A8HR-01A,3
TCGA-BH-A0DD-01A,3
TCGA-D8-A1JF-01A,3
TCGA-BH-A0DG-01A,3
TCGA-OL-A5D8-01A,3
TCGA-D8-A27H-01A,3
TCGA-A2-A1G6-01A,3
TCGA-A2-A0YH-01A,3
TCGA-BH-A208-11A,3
TCGA-EW-A1J3-01A,3
TCGA-A7-A26H-01A,3
TCGA-GM-A3NY-01A,3
TCGA-E2-A153-01A,3
TCGA-A2-A1G1-01A,3
TCGA-JL-A3YX-01A,3
TCGA-A2-A0CY-01A,3
TCGA-AN-A0FT-01A,3
TCGA-A2-A1FV-01A,3
TCGA-AR-A0TU-01A,3
TCGA-E2-A155-01A,3
TCGA-AR-A2LM-01A,3
TCGA-A2-A0SV-01A,3
TCGA-E9-A22G-01A,3
TCGA-A8-A07S-01A,3
TCGA-A2-A0EP-01A,3
TCGA-AR-A0TS-01A,3
TCGA-BH-A0B2-01A,3
TCGA-AN-A0FD-01A,3
TCGA-BH-A0BS-01A,3
TCGA-AR-A2LE-01A,3
TCGA-S3-AA11-01A,3
TCGA-AO-A124-01A,3
TCGA-BH-A0B0-01A,3
TCGA-A2-A0CR-01A,3
TCGA-AR-A24M-01A,3
TCGA-BH-A0BZ-01A,3
TCGA-A8-A07F-01A,3
TCGA-B6-A0RM-01A,3
TCGA-BH-A1EN-01A,3
TCGA-C8-A12Y-01A,3
TCGA-C8-A12V-01A,3
TCGA-EW-A1PC-01B,3
TCGA-A2-A0EO-01A,3
TCGA-A7-A26F-01A,3
TCGA-EW-A1J2-01A,3
TCGA-UL-AAZ6-01A,3
TCGA-A2-A0CL-01A,3
TCGA-AR-A0U3-01A,3
TCGA-BH-A1F8-01A,3
TCGA-A2-A0CQ-01A,3
TCGA-BH-A6R8-01A,3
TCGA-AR-A1AS-01A,3
TCGA-BH-A0BQ-01A,3
TCGA-BH-A0DP-11A,3
TCGA-A8-A081-01A,3
TCGA-AR-A2LJ-01A,3
TCGA-D8-A1XC-01A,3
TCGA-E9-A1RI-01A,3
TCGA-AC-A62X-01A,3
TCGA-C8-A1HK-01A,3
TCGA-BH-A0B6-01A,3
TCGA-A8-A083-01A,3
TCGA-C8-A12T-01A,3
TCGA-D8-A1XA-01A,3
TCGA-E2-A15A-06A,3
TCGA-E2-A15A-01A,3
TCGA-AR-A24W-01A,3
TCGA-A7-A0CH-01A,3
TCGA-BH-A1EW-01A,3
TCGA-A2-A0EX-01A,3
TCGA-C8-A8HQ-01A,3
TCGA-B6-A0RU-01A,3
TCGA-A7-A0CE-01A,3
TCGA-GM-A2DI-01A,3
TCGA-E9-A243-01A,3
TCGA-E2-A159-01A,3
TCGA-D8-A27N-01A,3
TCGA-A8-A08Z-01A,3
TCGA-AC-A5XS-01A,3
TCGA-C8-A26Z-01A,3
TCGA-AC-A2QJ-01A,3
TCGA-AR-A24R-01A,3
TCGA-A8-A08H-01A,3
TCGA-EW-A1PG-01A,3
TCGA-BH-A1FN-11A,3
TCGA-BH-A1FN-01A,3
TCGA-E2-A1BD-01A,3
TCGA-A7-A5ZV-01A,3
TCGA-AR-A1AH-01A,3
TCGA-A8-A09X-01A,3
TCGA-BH-A208-01A,3
TCGA-GM-A2DM-01A,3
TCGA-A2-A0YJ-01A,3
TCGA-BH-A18S-01A,3
TCGA-GM-A2DH-01A,3
TCGA-OL-A5RZ-01A,3
TCGA-OL-A5RX-01A,3
TCGA-C8-A273-01A,3
TCGA-A2-A0CK-01A,3
TCGA-A2-A4RY-01A,3
TCGA-BH-A8FY-01A,3
TCGA-E2-A9RU-01A,3
TCGA-AC-A3QP-01A,3
TCGA-A7-A13E-01A,3
TCGA-BH-A0DH-01A,3
TCGA-A8-A09W-01A,3
TCGA-B6-A0RV-01A,3
TCGA-D8-A1JT-01A,3
TCGA-E9-A1R3-01A,3
TCGA-A8-A07O-01A,3
TCGA-C8-A275-01A,3
TCGA-S3-AA0Z-01A,3
TCGA-E9-A229-01A,3
TCGA-A2-A04P-01A,3
TCGA-D8-A1XM-01A,3
TCGA-AN-A0FW-01A,3
TCGA-LL-A6FQ-01A,3
TCGA-E2-A1LS-01A,3
TCGA-AO-A0J7-01A,3
TCGA-E9-A3X8-01A,3
